"section","url","title","published_date","content"
"science-technology","https://www.risingbd.com/english/science-technology/news/111505","490 children killed by Israeli forces in 20 days","07/04/2025","Israeli forces have killed 490 Palestinian children in the Gaza Strip over the past 20 days, according to a statement released Sunday by the Gaza media office. In the statement, the media office described the actions as “one of the most horrific crimes against humanity in modern times,” accusing Israel of continuing to carry out brutal massacres against defenseless civilians in Gaza, with children being a primary target of airstrikes. “Over the past twenty days, Israel has committed a shocking act of genocide against childhood, with 490 children martyred in a series of barbaric attacks,” the statement read. “This brings the total number of martyrs during this period to 1,350.” The statement rejected Israeli claims that civilian casualties are merely incidental, instead arguing that the figures alone reflect a deliberate, systematic policy of targeting Palestinian children in violation of international law. Last weekend, Israeli Prime Minister Benjamin Netanyahu vowed to escalate attacks on Gaza as efforts are underway to implement US President Donald Trump’s plan to displace Palestinians from the enclave. Nearly 50,700 Palestinians have been killed in Gaza in a brutal Israeli onslaught since October 2023, most of them women and children. The International Criminal Court issued arrest warrants last November for Netanyahu and his former Defense Minister Yoav Gallant, for war crimes and crimes against humanity in Gaza. Israel also faces a genocide case at the International Court of Justice for its war on the enclave. NativeClick Ads (With inputs from Anadolu Ajansı)"
"science-technology","https://www.risingbd.com/english/science-technology/news/111506","Heavy rains kill 33 in DR Congo’s capital","07/04/2025","At least 33 people have been confirmed dead following heavy rains that flooded Kinshasa, the capital of the Democratic Republic of the Congo (DRC), authorities said early Monday. Deputy Prime Minister and Minister of Interior and Security Jacquemain Shabani said the torrential downpour, which occurred overnight from Friday to Saturday, has caused major damage across several districts of the capital, leaving dozens injured and destroying numerous homes. In response, the government has set up a crisis management unit in coordination with the armed forces, several ministries and the Kinshasa provincial government to carry out evacuations and deploy emergency teams. The flooding has paralyzed much of the city’s infrastructure, submerging major roads and triggering widespread power and water outages across the city. The Ministry of Transport reported severe disruption to routes to and from the N’djili International Airport, prompting the deployment of emergency ferry services to assist stranded travelers. Meteorologists forecast continued heavy rainfall in the coming days, raising fears of further destruction in the city of 17 million people. The DRC’s rainy season typically runs from November through May. (With inputs from Xinhua) NativeClick Ads"
"science-technology","https://www.risingbd.com/english/science-technology/news/111507","Court sentences 11 persons including former Sonali Bank MD","07/04/2025","A Dhaka Court has sentenced 11 people including former Managing Director of the state-owned Sonali Bank in a case filed on charge of embezzling. Dhaka Special Session Judge Court-6 Justice Md. Jakaria Hossain passed the order on Monday (April 7). The convicts are – the bank’s former MD Humayun Kabir, DAD Mainul Haque, GM Nani Gopal Nath, and Mir Mahidur Rahman, AGM Saiful Hasan and Kamrul Hossain Khan, DGM Safiz Uddin Ahmed, Khan Jahan Ali Sweater Ltd Chairman Tajul Islam, Managing Director Abdul Jalil Sheikh, Director Rafiqul Islam and Mir Mohammad Shawkat Ali. Of the convicts, seven were sentenced for three years of rigorous imprisonment and fined Tk10,000, in default to serve six more months in jail. Besides, four others have been sentenced to three years in rigorous imprisonment. The court also fined them Tk 1,14,75,668."
"science-technology","https://www.risingbd.com/english/science-technology/news/111508","Ex-lawmaker Afzal on 7-day remand in Shamim killing case","07/04/2025","A Dhaka court granted a seven-day remand for former lawmaker from Kishoreganj-5 constituency Md Afzal Hossain in a case filed over the murder of Jubo Dal leader Shamim in 2023. Dhaka Metropolitan Magistrate MA Azharul Islam passed the remand order on Monday (April 7). On March 25, the court of Dhaka Additional Chief Metropolitan Magistrate Sanaullah sent the former lawmaker to jail as police produced Afzal before the court on that day and had pleaded to place him on a 10-day remand in the case. The court, however, decided to hold a hearing on his bail petition and police petition for placing him on remand later, as the primary case documents had not reached the court by then. Police arrested Md Afzal Hossain from Meherpur town on March 24. According to the case documents, BNP called a grand rally on October 28, 2023. Awami League also called its rally in the capital to foil this programme. At one stage, Awami League activists, with the help of police, attacked BNP’s rally in Naya Paltan, killing Shamim on the spot. The case was filed with the capital’s Paltan Police Station on September 24, 2024."
"science-technology","https://www.risingbd.com/english/science-technology/news/111509","Plan to raise Tk800-900cr fund for new entrepreneurs: governor","07/04/2025","Bangladesh Bank (BB) Governor Ahsan H Mansur said the central bank has taken an initiative to launch a special fund of about Tk 800 crore to Tk 900 crore for new entrepreneurs. He made the announcement while speaking at a panel discussion at the inaugural session of the ‘Bangladesh Startup Connect 2025’ at Hotel Intercontinental here in the capital on Monday (April 7). The BB governor said that a notification in this regard will be issued within a week. The old concept regarding foreign investment in the country has come to an end, which is a positive sign for the business sector. He said, “Bangladesh is a suitable destination not only for trade but also for investment. 95 percent of startups fail. Yet, the government is providing support to startups.” Dr. Ahsan H Mansur said, “This fund will be kept ready to provide capital support for new entrepreneurs and the fund will be distributed through commercial banks.” This flagship event under the Bangladesh Investment Summit-2025 is taking place under the powerful theme: “Empowering Innovation, Connecting Opportunities”. Organized by Startup Bangladesh Limited, ICT Division, and Bangladesh Investment Development Authority (BIDA), the Startup Connect is spotlighting the nation’s rapidly growing startup ecosystem and its pivotal role in global investment networks. The event started with a formal inaugural ceremony followed by a keynote address from Chairman of Constellation Asset Management Company Limited and Independent Director of Startup Bangladesh Limited Tanveer Ali, who spoke on “Empowering Innovation, Connecting Opportunities.” NativeClick Ads Special Assistant to the Chief Adviser for ICT Faiz Ahmad Taiyeb, Executive Chairman of BIDA Chowdhury Ashik Mahmud Bin Harun, Secretary of the ICT Division and Chairman of Startup Bangladesh Limited Shish Haider Chowdhury also took part in the panel discussion. CEO of Share Trip Sadia Haque moderated the discussion."
"science-technology","https://www.risingbd.com/english/science-technology/news/111510","Chief Adviser sends letter to Trump seeking reconsideration of tariff issue","07/04/2025","Chief Adviser Professor Muhammad Yunus has addressed a letter to US President Donald J. Trump requesting him to postpone the application of US reciprocal tariff measures on Bangladesh for three months to allow the interim government to smoothly implement its initiative to substantially increase US exports to Bangladesh. ""We are the first country to take such a pro-active initiative"", he said in his letter, citing the visit of High Representative Dr. Khalilur Rahman to Washington DC in February. Ever since, the two sides have been working closely to identify specific actions. Bangladesh is also the first country to enter into a multi-year agreement to import liquified natural gas from the US. The centerpiece of Bangladesh's actions is to significantly increase imports of US agricultural products such as cotton, wheat, corn and soybean which will offer benefits to US farmers. Bangladesh has the lowest tariff on most US exports in the South Asian region. The Chief Adviser indicated further tariff cuts on US products are being fashioned, including top US export items such as gas turbines, semiconductors and medical equipment. Bangladesh will build dedicated duty free bonded warehouses for cotton to improve speed to market. ""We are eliminating certain testing requirements, rationalizing packaging, labelling and certification requirements and undertaking trade facilitation measures such as simplifying customs procedures and standards,"" the Chief Adviser added. ""Bangladesh will take all necessary actions to fully support your trade agenda"", Professor Yunus assured President Trump. NativeClick Ads A separate letter detailing the actions by Bangladesh will be sent by the Commerce Adviser to the US Trade Representative soon."
"science-technology","https://www.risingbd.com/english/science-technology/news/111511","Bangladesh strongly condemns Israel’s mass killing in Gaza ","07/04/2025","Bangladesh has expressed its strongest condemnation of the Israeli Occupying Forces’ continued mass killing and gross violations of human rights in the Gaza Strip. The foreign ministry said this in a statement on Monday. According to the statement, the Government of Bangladesh demands that Israel immediately cease all military operations, exercise maximum restraint, and abide by its duty under international humanitarian law. It said that Bangladesh strongly denounced the Israeli Occupying Forces’ indiscriminate aerial bombardment of densely populated civilian areas in Gaza with the overt intention of carrying out ethnic cleansing against the defenseless Palestinian population. Israel’s ongoing military attacks since last month's unilateral breach of the ceasefire have killed scores of Palestinians, mostly women and children as well as blocked the entry of humanitarian aid into Gaza leading to a human catastrophe. Evidently, Israel has shown no regard to repeated international appeals and has instead engaged in an increasingly intense killing spree, said the foreign ministry. Bangladesh appealed to the international community, in particular the United Nations (UN) to discharge its moral and legal responsibilities by adopting immediate and effective steps towards the implementation of an unconditional ceasefire. Dhaka called for the cessation of all hostilities for the protection of lives of civilians and unobstructed passage of humanitarian relief to besieged Gaza. NativeClick Ads The foreign ministry reaffirmed the strong support of the Bangladesh Government for all the just rights of the Palestinian people, their right to self-determination and to the establishment of an independent and sovereign State of Palestine based on pre-1967 borders, with East Jerusalem as its capital. The Bangladesh government reiterated the necessity of returning to negotiation platform for permanent peace in the Middle East, which is vital for both regional and global stability. Bangladesh also appealed to all concerned to commit themselves to the path of diplomacy and dialogue to put an end to the violence and sufferings afflicting the Palestinian people. Bangladesh further remained steadfast and unequivocal in its call on the global community to work towards a two state solution of the Palestinian issue based on international law, United Nations resolutions, and the Palestinian aspirations for peace, dignity, and justice, said the statement."
"science-technology","https://www.risingbd.com/english/science-technology/news/111512","US embassy issues alert for its citizens in Dhaka","07/04/2025","The US Embassy in Bangladesh has issued an alert for its citizens living here asking them to avoid demonstrations, monitor local news for real-time updates, and exercise caution in the vicinity of any large gatherings as school and university students have staged demonstrations across the country, including the capital Dhaka, in protest against the Israeli attack in Gaza. Meanwhile, large gatherings took place in Dhaka and other major cities, potentially affecting traffic and public services. The US embassy in Dhaka will limit afternoon public services as a precaution, the embassy said in a statement on Monday (April 7). US citizens should practice vigilance and remember that demonstrations intended to be peaceful can turn confrontational and escalate into violence, it added. “You should avoid demonstrations and exercise caution in the vicinity of large gatherings,” the statement said."
"science-technology","https://www.risingbd.com/english/science-technology/news/111513","Travel embargo imposed on ex-lawmaker Shamim","07/04/2025","A Dhaka court has imposed a travel embargo on former lawmaker from Cumilla-8 constituency Abu Zafar Mohammod Shofiuddin Shamim over graft allegations. Dhaka Metropolitan Senior Special Judge Zakir Hossain Galib passed the order on Monday (April 7). Anti-Corruption Commission (ACC) Assistant Director Ferdous Rahman filed the plea. The ACC in its plea said a team had been formed to investigate Shofiuddin over allegations, including the embezzlement of 300 crore Taka from a single project. The ACC expressed concerns that the former lawmaker might attempt to flee the country to avoid prosecution, leading to the travel restriction."
"science-technology","https://www.risingbd.com/english/science-technology/news/111514","Tahira diagnosed with cancer again","07/04/2025","Tahira Kashyap, wife of Bollywood actor Ayushmann Khurrana, has been diagnosed with cancer again after seven years. However, the couple is taking the news in stride, with Tahira sharing a humorous take on her situation. A filmmaker and writer, Tahira Kashyap was first diagnosed with cancer in 2018. Despite the challenges she faced, she remained positive and continued to work on her projects. Now, after a seven-year remission, the cancer has returned, but Tahira is determined to face it with the same resilience and humor. She shared a post that read, “Seven-year itch or the power of regular screening – it’s a perspective I had like to go with the latter and suggest the same for everyone who needs to get regular mammograms. Round 2 for me... I still got this.” In the caption, Tahira added, “When life gives you lemons make lemonade. When life becomes too generous and throws them again at you, you squeeze them calmly into your favourite kala khatta drink and sip it with all the good intentions. Because for one it’s a better drink and two you know you will give it your best once again. As soon as she shared her latest update, numerous fans, well-wishers, and members of the entertainment industry took to social media to express their love, admiration, and unwavering support._Agencies"
